case_id,judge_id
32044046873683_0223,164
32044046873683_0505,2302
32044049817315_0166,
32044049817315_0275,2173
32044046873683_0421,
32044046873683_0603,460
32044046873683_0028,1543
32044049817315_0440,1874
32044049817315_0501,916
32044046873683_0207,
32044046873683_0105,
32044049817315_0540,154
32044049817315_0384,154
32044046873683_0251,1498
32044049817315_0101,1417
32044046873683_0241,2256
32044046873683_0591,1430
32044046873683_0447,2510
32044049817315_0438,1745
32044049817315_0327,192
32044049817315_0057,
32044049817315_0337,192
32044046873683_0516,
32044046873683_0449,916
32044046873683_0003,424
32044046873683_0602,
32044049817315_0392,172
32044046873683_0616,
32044049817315_0509,2816
32044049817315_0441,
32044046873683_0129,673
32044049817315_0302,650
32044049817315_0352,
32044046873683_0547,1424
32044049817315_0193,
32044046873683_0121,
32044049817315_0448,
32044049817315_0220,947
32044049817315_0548,164
32044049817315_0082,1745
32044046873683_0157,2106
32044046873683_0313,164
32044049817315_0096,192
32044046873683_0108,
32044046873683_0228,2302
32044049817315_0120,
32044046873683_0168,1408
32044046873683_0487,
32044046873683_0232,192
32044046873683_0593,547
32044049817315_0133,414
32044046873683_0016,1771
32044049817315_0381,1065
32044046873683_0055,2510
32044046873683_0030,
32044046873683_0579,2645
32044046873683_0566,
32044049817315_0341,164
32044049817315_0105,2180
32044049817315_0195,2256
32044049817315_0456,2650
32044049817315_0374,1178
32044046873683_0357,2302
32044049817315_0561,1115
32044049817315_0129,
32044046873683_0379,1408
32044049817315_0528,2510
32044046873683_0503,164
32044049817315_0516,
32044049817315_0270,197
32044046873683_0067,164
32044049817315_0524,1568
32044046873683_0286,2816
32044049817315_0263,197
32044049817315_0205,2813
32044046873683_0592,1430
32044049817315_0276,
32044046873683_0441,
32044046873683_0535,1417
32044049817315_0140,2302
32044046873683_0322,2816
32044049817315_0241,192
32044049817315_0318,192
32044046873683_0244,164
32044046873683_0194,2411
32044049817315_0469,
32044046873683_0495,
32044046873683_0405,
32044046873683_0060,2302
32044049817315_0040,192
32044046873683_0014,786
32044049817315_0380,1094
32044049817315_0406,2510
32044046873683_0043,2645
32044049817315_0555,2510
32044046873683_0382,1498
32044049817315_0043,2650
32044049817315_0372,1568
32044049817315_0545,2256
32044046873683_0479,1745
32044046873683_0234,164
32044049817315_0526,2650
32044046873683_0249,235
32044049817315_0058,
32044049817315_0403,
32044049817315_0095,
32044046873683_0022,1430
32044049817315_0181,1745
32044046873683_0442,
32044049817315_0321,154
32044049817315_0291,2302
32044049817315_0170,460
32044049817315_0519,1318
32044049817315_0239,424
32044046873683_0002,192
32044049817315_0462,154
32044049817315_0315,164
32044046873683_0329,
32044046873683_0147,2813
32044049817315_0259,
32044046873683_0036,
32044046873683_0490,
32044049817315_0114,673
32044046873683_0104,2179
32044049817315_0232,2641
32044046873683_0072,
32044049817315_0429,
32044049817315_0477,
32044049817315_0179,460
32044049817315_0246,2502
32044049817315_0460,
32044049817315_0139,2380
32044046873683_0455,
32044046873683_0153,192
32044049817315_0450,1417
32044049817315_0413,
32044049817315_0510,2813
32044049817315_0394,
32044049817315_0522,
32044049817315_0007,424
32044049817315_0023,2302
32044046873683_0478,
32044049817315_0338,192
32044049817315_0432,192
32044049817315_0342,
32044046873683_0497,
32044049817315_0367,558
32044049817315_0485,915
32044049817315_0008,2173
32044049817315_0336,
32044046873683_0614,670
32044049817315_0249,
32044046873683_0394,192
32044046873683_0230,
32044046873683_0302,2502
32044046873683_0260,
32044046873683_0253,
32044049817315_0116,2625
32044049817315_0107,284
32044049817315_0344,154
32044046873683_0271,
32044049817315_0360,
32044046873683_0025,
32044046873683_0143,
32044046873683_0137,
32044049817315_0559,
32044046873683_0256,2650
32044046873683_0130,
32044049817315_0224,2502
32044049817315_0261,
32044046873683_0320,
32044046873683_0063,
32044046873683_0086,
32044046873683_0608,
32044049817315_0551,650
32044049817315_0070,650
32044046873683_0429,1430
32044046873683_0266,192
32044049817315_0395,1094
32044049817315_0073,
32044046873683_0628,1300
32044049817315_0283,
32044046873683_0155,2645
32044046873683_0336,2474
32044049817315_0051,1417
32044046873683_0051,1115
32044049817315_0518,621
32044049817315_0167,2667
32044046873683_0323,
32044049817315_0135,2302
32044046873683_0118,2302
32044046873683_0185,192
32044049817315_0050,
32044049817315_0461,164
32044049817315_0086,1430
32044049817315_0266,2302
32044046873683_0486,1498
32044046873683_0473,916
32044049817315_0001,
32044049817315_0076,197
32044049817315_0487,
32044046873683_0007,2650
32044046873683_0385,2179
32044046873683_0575,621
32044046873683_0126,2302
32044046873683_0048,
32044046873683_0424,2502
32044046873683_0238,1498
32044046873683_0062,
32044046873683_0578,154
32044049817315_0355,1417
32044046873683_0291,
32044049817315_0115,
32044046873683_0620,
32044046873683_0027,1543
32044046873683_0625,1115
32044046873683_0096,154
32044049817315_0340,2322
32044046873683_0369,164
32044046873683_0204,1115
32044049817315_0282,
32044046873683_0216,
32044049817315_0012,650
32044046873683_0047,
32044049817315_0172,346
32044049817315_0514,275
32044046873683_0418,
32044046873683_0117,2173
32044046873683_0398,1065
32044046873683_0310,
32044049817315_0033,
32044049817315_0173,2510
32044049817315_0153,
32044046873683_0552,1650
32044046873683_0085,2380
32044049817315_0527,2510
32044049817315_0399,
32044049817315_0542,
32044046873683_0582,284
32044046873683_0303,
32044049817315_0354,154
32044046873683_0551,
32044046873683_0124,441
32044049817315_0015,1498
32044049817315_0242,164
32044046873683_0565,192
32044049817315_0324,1177
32044049817315_0361,1158
32044049817315_0556,2510
32044046873683_0344,
32044049817315_0401,
32044049817315_0247,
32044046873683_0396,192
32044046873683_0263,
32044049817315_0013,
32044046873683_0471,1430
32044046873683_0630,
32044046873683_0220,1430
32044046873683_0172,164
32044046873683_0058,1430
32044046873683_0109,
32044049817315_0546,164
32044046873683_0257,2650
32044049817315_0123,2173
32044049817315_0488,192
32044046873683_0489,
32044049817315_0297,238
32044046873683_0360,424
32044046873683_0609,
32044049817315_0055,154
32044046873683_0606,1177
32044046873683_0391,1115
32044049817315_0435,164
32044046873683_0193,2650
32044049817315_0533,2650
32044049817315_0339,1177
32044049817315_0319,2813
32044046873683_0319,2302
32044049817315_0494,2645
32044046873683_0148,977
32044049817315_0078,
32044046873683_0068,1408
32044049817315_0295,192
32044046873683_0301,1745
32044046873683_0586,
32044049817315_0553,2641
32044046873683_0339,164
32044046873683_0332,154
32044046873683_0041,164
32044049817315_0330,2645
32044046873683_0211,192
32044049817315_0538,
32044049817315_0280,1177
32044046873683_0144,
32044046873683_0224,
32044046873683_0417,2173
32044046873683_0045,
32044049817315_0442,1360
32044049817315_0363,2650
32044046873683_0110,
32044046873683_0073,2645
32044049817315_0211,1094
32044049817315_0068,
32044046873683_0349,
32044046873683_0201,650
32044046873683_0611,
32044049817315_0090,192
32044046873683_0287,2816
32044046873683_0574,1091
32044049817315_0011,164
32044049817315_0226,192
32044049817315_0359,1581
32044049817315_0237,947
32044046873683_0076,
32044046873683_0553,1650
32044049817315_0104,192
32044046873683_0162,424
32044046873683_0171,
32044049817315_0037,1519
32044046873683_0407,
32044049817315_0349,192
32044049817315_0227,
32044046873683_0115,192
32044049817315_0278,2502
32044046873683_0090,2302
32044049817315_0554,
32044046873683_0308,2604
32044049817315_0171,2173
32044046873683_0296,
32044049817315_0467,164
32044049817315_0532,
32044049817315_0159,164
32044049817315_0277,
32044046873683_0466,2179
32044049817315_0544,
32044046873683_0437,
32044046873683_0206,
32044046873683_0010,
32044049817315_0098,346
32044049817315_0489,792
32044049817315_0214,
32044049817315_0305,650
32044049817315_0475,
32044046873683_0187,670
32044046873683_0259,
32044046873683_0453,
32044049817315_0390,2256
32044046873683_0431,2106
32044046873683_0492,
32044049817315_0265,2302
32044046873683_0641,
32044046873683_0226,2380
32044049817315_0294,2474
32044049817315_0035,164
32044046873683_0218,
32044049817315_0165,
32044046873683_0440,
32044046873683_0071,154
32044046873683_0227,
32044046873683_0280,2302
32044046873683_0646,2641
32044049817315_0112,192
32044049817315_0049,1745
32044049817315_0256,2302
32044046873683_0555,
32044049817315_0284,591
32044049817315_0370,
32044046873683_0005,1271
32044046873683_0351,
32044049817315_0157,192
32044049817315_0079,1498
32044049817315_0087,2510
32044046873683_0133,2387
32044046873683_0081,915
32044046873683_0374,673
32044046873683_0525,
32044046873683_0430,751
32044049817315_0080,164
32044046873683_0179,192
32044046873683_0327,1543
32044046873683_0540,
32044049817315_0042,2650
32044049817315_0504,
32044046873683_0128,
32044046873683_0070,84
32044046873683_0512,192
32044046873683_0642,2106
32044049817315_0386,
32044049817315_0347,192
32044046873683_0150,192
32044046873683_0409,
32044049817315_0071,
32044046873683_0325,1643
32044046873683_0267,
32044049817315_0093,164
32044046873683_0483,
32044046873683_0583,591
32044046873683_0534,1430
32044049817315_0262,164
32044046873683_0282,
32044046873683_0032,650
32044049817315_0484,
32044046873683_0305,
32044049817315_0164,2645
32044046873683_0597,2650
32044046873683_0159,192
32044049817315_0047,1065
32044046873683_0275,192
32044049817315_0253,2641
32044049817315_0081,164
32044049817315_0415,
32044049817315_0052,1744
32044049817315_0251,2106
32044046873683_0632,1094
32044049817315_0447,1430
32044046873683_0292,2645
32044046873683_0542,2813
32044046873683_0541,2302
32044046873683_0089,
32044049817315_0020,
32044046873683_0354,164
32044046873683_0365,460
32044046873683_0106,621
32044046873683_0502,
32044046873683_0433,1430
32044049817315_0147,154
32044049817315_0136,2641
32044046873683_0315,
32044046873683_0634,164
32044049817315_0391,1065
32044046873683_0347,
32044049817315_0414,1874
32044049817315_0146,154
